年度,月份,市場別,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
2021,03,國外上市,9946,三發地產,建材營造,69799,47917,189322,45.666464928939625,-63.132124106020434,146049,556185,-73.74093152458265,"本期營收較去年同期減少約11,952萬，係因去年同期大量交屋認列營收。"
2021,03,國外上市,9955,佳龍,綠能環保,104449,92992,138387,12.320414659325534,-24.523979853598966,459555,385798,19.11803586332744,-
2021,03,國外上市,9958,世紀鋼,鋼鐵工業,608564,555561,384295,9.540446503624263,58.35855267437776,1676832,1183021,41.74152445307395,本月增加百分比達50%以上，主因風力事業陸續投產，影響收入較同期增加。
2021,03,國內上櫃,1240,茂生農經,農業科技,235368,190791,188934,23.36430963724704,24.57683635555273,645427,547103,17.971753033706634,-
2021,03,國內上櫃,1259,安心,觀光餐旅,429387,426779,401279,0.6110891116948116,7.004602782602628,1285164,1281281,0.3030560821552805,-
2021,03,國內上櫃,1264,德麥,食品工業,421628,264437,339263,59.44364820354186,24.27762532312689,1191937,904026,31.847645974783912,-
2021,03,國內上櫃,1268,漢來美食,觀光餐旅,288162,402666,140357,-28.43647092130947,105.30646850531146,1026979,839237,22.370558018771813,本月較去年同期增加係因去年受肺炎疫情影響
2021,03,國內上櫃,1336,台翰,電子零組件業,123105,78341,152811,57.13993949528344,-19.439700021595304,376991,467297,-19.32518291365021,-
2021,03,國內上櫃,1565,精華,生技醫療業,486091,394543,455729,23.203554492159284,6.6622927222099095,1306082,1335412,-2.196325927878437,-
2021,03,國內上櫃,1569,濱川,電腦及週邊設備業,390104,257655,503631,51.40556170072384,-22.541702158921908,1126125,936019,20.310057808655596,-
2021,03,國內上櫃,1570,力肯,電機機械,71173,33806,40354,110.53363308288468,76.37161124052139,162863,122477,32.97435436857533,"去年遭受疫情影響,基期較低,且客戶預期後續恐受貨櫃運輸影響,導致缺貨,故要求提前出貨"
2021,03,國內上櫃,1580,新麥,電機機械,317231,157149,183018,101.8663815869016,73.3332240544646,790582,488641,61.7919904387884,主要係疫情受到控制，烘焙市場回溫，讓烘焙設備銷售重新回到軌道。
2021,03,國內上櫃,1584,精剛,其他,71088,40069,74134,77.41396091741746,-4.108776000215825,178684,236589,-24.47493332318916,-
2021,03,國內上櫃,1586,和勤,電機機械,204367,168728,148616,21.12216111137452,37.51345750121118,626459,418813,49.579645330971104,合併營業收入係將母子公司及各子公司間重複營收部分消除後所得數字
2021,03,國內上櫃,1591,駿吉-KY,電機機械,76143,65456,33415,16.326998288926912,127.87071674397724,207263,125904,64.61986910662091,去年同期受疫情影響，出貨較少
2021,03,國內上櫃,1593,祺驊,運動休閒,87977,69112,60177,27.296272716749623,46.19705202984529,265777,155370,71.06069382763725,新冠肺炎疫情帶動家用健身器材需求激增
2021,03,國內上櫃,1595,川寶,電子零組件業,187084,132872,133156,40.80016858329821,40.49986482021088,472416,328724,43.71205023058858,-
2021,03,國內上櫃,1599,宏佳騰,電機機械,303986,189095,204659,60.75834897802692,48.53292550046663,758292,532113,42.505821131977605,-
2021,03,國內上櫃,1742,台蠟,化學工業,41861,44937,47993,-6.845138749805283,-12.7768632925635,104035,107274,-3.019370956615769,-
2021,03,國內上櫃,1777,生泰,生技醫療業,97017,63909,91387,51.80491010655776,6.160613654020812,235583,235327,0.1087847973245738,-
2021,03,國內上櫃,1781,合世,生技醫療業,91242,55898,41865,63.22945364771548,117.94338946614116,211416,105610,100.18558848593884,本月營收較去年同期增加主要係因出貨量增加所致
2021,03,國內上櫃,1784,訊聯,生技醫療業,82729,68390,70608,20.966515572452117,17.166610015862226,229530,195032,17.688379342877067,-
2021,03,國內上櫃,1785,光洋科,其他電子業,2573891,1979598,2165434,30.020893130827574,18.862592902854576,7367143,5416929,36.00220715464427,-
2021,03,國內上櫃,1788,杏昌,生技醫療業,318108,272269,299190,16.835923296445795,6.323072295197032,881836,825036,6.8845480682055085,-
2021,03,國內上櫃,1796,金穎生技,食品工業,41883,31193,33436,34.270509409162315,25.263189376719705,113865,88729,28.328956710883705,-
2021,03,國內上櫃,1799,易威,生技醫療業,43040,13748,20519,213.06371835903403,109.75681076075831,71639,77836,-7.961611593607071,供應商受疫情影響，原料藥產品遞延至本月到貨故本月營收增加。
2021,03,國內上櫃,1813,寶利徠,生技醫療業,41069,40910,42917,0.3886580298215595,-4.305985972924482,132886,123924,7.231851780123302,-
2021,03,國內上櫃,1815,富喬,電子零組件業,430241,353614,334587,21.669673712013665,28.58867798210929,1207464,945534,27.70180659817627,-
2021,03,國內上櫃,2035,唐榮公司,鋼鐵工業,1305681,694512,1043013,87.99977538185085,25.183578728165426,3064472,2840295,7.892736493920526,-
2021,03,國內上櫃,2061,風青,電器電纜,99046,30700,66697,222.62540716612375,48.50143184850893,215424,139828,54.06356380696284,因今年客戶需求成長致銷售量增加，且國際銅價上升致營業額成長。
2021,03,國內上櫃,2063,世鎧,鋼鐵工業,109665,85382,89086,28.44042069757092,23.10015041645152,301487,260448,15.757080108121391,-
2021,03,國內上櫃,2064,晉椿,鋼鐵工業,234792,145287,148580,61.60564950752648,58.02396015614484,575493,412545,39.49823655601208,因鋼鐵需求增加故營收增加
2021,03,國內上櫃,2065,世豐,鋼鐵工業,299067,208789,182664,43.23886794802408,63.72520036788858,742162,479704,54.71248936844388,主係美國螺絲品牌商、建築裝修通路客戶拉貨強勁所致。
2021,03,國內上櫃,2066,世德,電機機械,220828,168095,188631,31.370950950355454,17.068774485635977,592320,550565,7.584027317392134,-
2021,03,國內上櫃,2067,嘉鋼,電機機械,100124,52117,63552,92.11389757660648,57.54657603222558,240822,158631,51.81269739206082,1103及10903自結數
2021,03,國內上櫃,2070,精湛,電機機械,48648,50835,43567,-4.302154027736796,11.662496843941517,144289,131817,9.461602069535797,-
2021,03,國內上櫃,2221,大甲,其他,99182,56025,100214,77.03168228469433,-1.0297962360548427,257934,271210,-4.895099738210243,-
2021,03,國內上櫃,2230,泰茂,電機機械,46580,46587,38705,-0.0150256509326636,20.34620850019377,147666,97548,51.37778324517161,109年度因COVID-19影響大陸子公司營收，致年增減百分比達50%。
2021,03,國內上櫃,2235,謚源,電機機械,45145,32907,76019,37.1896556963564,-40.61353082781936,138123,175604,-21.344046832646185,-
2021,03,國內上櫃,2596,綠意,建材營造,76,89,45776,-14.606741573033707,-99.83397413491788,2459,45937,-94.64701656616673,本公司「綠意東居B」建案尚未交屋，故110年3月單月及110年累計營業收入淨額均較去年同期減少。
2021,03,國內上櫃,2640,大車隊,數位雲端,178254,163098,157264,9.292572563734687,13.346983416420796,520103,491459,5.828360046311086,-
2021,03,國內上櫃,2641,正德,航運業,69937,57976,64363,20.63095073823651,8.660255115516678,194002,191888,1.101684315850913,-
2021,03,國內上櫃,2643,捷迅,航運業,363111,287558,339842,26.274003853135717,6.84700537308514,1066066,785667,35.68929330110594,-
2021,03,國內上櫃,2718,全心投控,建材營造,2485,10545,2252,-76.43432906590802,10.346358792184724,13050,33209,-60.70342377066458,"前期屬繼續營業單位營收分別為282仟元(當月),2,240仟元(累計)其差異係今年開始認列營建工程收入致營收增加"
2021,03,國內上櫃,2719,燦星旅,觀光餐旅,2268,1948,7380,16.427104722792606,-69.26829268292683,8547,108847,-92.14769355149888,因受新型冠狀病毒疫情影響
2021,03,國內上櫃,2724,藝舍-KY,觀光餐旅,7765,7790,9262,-0.3209242618741977,-16.16281580652127,23981,49142,-51.20060233608726,1.2020年9月起因部分直營店轉為加盟店，故收入來源為加盟費用型態。2.受新型冠狀病毒疫情影響。
2021,03,國內上櫃,2726,雅茗-KY,觀光餐旅,130775,102593,66793,27.46971040909224,95.79147515458207,426325,277063,53.87294586429801,較上月增加係逢春節期間，於春節前已備貨完畢。較去年同期增加係因去年同期因新冠肺炎疫情影響，中國大陸地區營收大幅減少
2021,03,國內上櫃,2729,瓦城,觀光餐旅,373566,521719,243866,-28.397087320952465,53.18494583090714,1265871,1097058,15.387791712015224,去年受新冠肺炎影響
2021,03,國內上櫃,2732,六角,觀光餐旅,382975,293794,269099,30.354942578813727,42.3175113991505,1091778,856154,27.5212169773195,-
2021,03,國內上櫃,2734,易飛網,觀光餐旅,30773,9706,14245,217.05130846898825,116.02667602667604,60592,115496,-47.53757705894576,因受新冠肺炎疫情影響
2021,03,國內上櫃,2736,富野,觀光餐旅,52273,82541,25722,-36.67026084006736,103.2229220122852,185352,151202,22.585680083596777,去年同期因COVID-19疫情爆發，營收大幅衰退；本期疫情減緩故營收較去年同期增加
2021,03,國內上櫃,2740,天蔥,觀光餐旅,12841,16623,9386,-22.751609216146303,36.81014276582144,39813,39259,1.4111413943299629,-
2021,03,國內上櫃,2743,山富,觀光餐旅,16975,20372,44614,-16.67484783035539,-61.95140538844309,58450,728806,-91.980033095227,因新冠肺炎疫情影響團體旅遊
2021,03,國內上櫃,2745,五福,觀光餐旅,15349,13551,48247,13.2683934764962,-68.18662300246648,39221,882618,-95.55628822435074,受新型冠狀病毒疫情影響，停止國外出境旅遊業務所致。
2021,03,國內上櫃,2751,王座,觀光餐旅,71906,82518,56026,-12.860224435880657,28.34398315068004,228543,209933,8.864733033872712,-
2021,03,國內上櫃,2752,豆府,觀光餐旅,161476,176951,103271,-8.745358884662986,56.36141801667458,511260,381445,34.03242931484225,因去年3-4月受疫情影響營收下滑，且疫情趨緩後持續展店所致
2021,03,國內上櫃,2754,亞洲藏壽司,觀光餐旅,250849,279590,146485,-10.279695268071103,71.24552001911458,792039,511771,54.76433795584353,本月較去年同期增加，係因店鋪數增加暨疫情趨緩所致。
2021,03,國內上櫃,2755,揚秦,觀光餐旅,134205,108994,115169,23.130631043910675,16.528753397181532,378138,334423,13.071768389135917,-
2021,03,國內上櫃,2756,聯發國際,觀光餐旅,78465,44959,44335,74.52567895193398,76.98206834329537,167934,155423,8.049645161912974,去年同期因新冠肺炎疫情影響，海外地區營收大幅減少
2021,03,國內上櫃,2916,滿心,居家生活,111217,126517,71510,-12.093236482053795,55.52649979023913,394059,307400,28.19095640858816,109年3月受疫情影響營收減少，110年疫情趨緩致本月營收較去年同期增加50%以上。
2021,03,國內上櫃,2924,宏太-KY,居家生活,25402,24953,26743,1.7993828397387088,-5.014396290618106,74338,77617,-4.224589973845935,-
2021,03,國內上櫃,2926,誠品生活,文化創意業,385471,384238,325009,0.3208948620386323,18.603177142786816,1158310,1142668,1.368901553207056,-
2021,03,國內上櫃,2937,集雅社,居家生活,196941,224603,190019,-12.315953037136635,3.6427936153753047,722751,595264,21.41688393721105,-
2021,03,國內上櫃,2941,米斯特,居家生活,30851,38393,11416,-19.644205975047534,170.2435178696566,98714,53387,84.90269166651058,-
2021,03,國內上櫃,2947,振宇五金,居家生活,134686,120835,131884,11.462738444986966,2.124594340481029,415028,385455,7.6722315185949075,-
2021,03,國內上櫃,2948,寶陞,居家生活,179110,124972,104897,43.32010370322952,70.74844847803082,435768,276204,57.77034365903463,主係美國整體房市交易熱絡，推升居家裝修市場需求，致本期營收較去年同期成長。
2021,03,國內上櫃,3064,泰偉,文化創意業,44162,24604,22024,79.49113965208909,100.5176171449328,98572,36570,169.54334153677877,本月及本年增減百分比增加，係本月及本年遊戲授權使用服務費及機台出貨量均較去年同期增加
2021,03,國內上櫃,3066,李洲,光電業,39949,15071,32388,165.07199256850905,23.345066073854515,90926,69682,30.487069831520337,-
2021,03,國內上櫃,3067,全域,其他電子業,4416,159,3034,2677.3584905660377,45.55042847725775,5412,13246,-59.14238260606976,受COVID-19疫情影響致今年累計營收較去年減少.
2021,03,國內上櫃,3071,協禧,電腦及週邊設備業,191701,164493,152645,16.540521481157253,25.58616397523666,545361,390533,39.64530526229537,-
2021,03,國內上櫃,3073,天方能源,綠能環保,2338,2251,7801,3.864948911594847,-70.02948339956416,8323,18216,-54.30939833113746,係子公司「力能」出售案場及出售子公司「賜禧」造成營收減少。
2021,03,國內上櫃,3078,僑威,電子零組件業,1071676,644748,420826,66.21625813496125,154.660120810026,2723004,921415,195.52416663501245,1-3月累計營收較去年同期增加195.52%，主要係客戶需求增加所致。
2021,03,國內上櫃,3081,聯亞,通信網路業,223095,198408,200255,12.442542639409702,11.405458040997727,603995,487207,23.97091995804658,-
2021,03,國內上櫃,3083,網龍,文化創意業,25442,35296,36310,-27.918177697189485,-29.931148443954832,85939,114001,-24.61557354760046,-
2021,03,國內上櫃,3085,新零售,數位雲端,7889,2606,10580,202.72448196469685,-25.43478260869565,13174,39746,-66.85452624163437,營收大幅減少主因大環境不佳，故目前已停採全力去化庫存。另已著手規劃潮牌服飾品牌，未來將以潮牌帶舊牌方式重新提升市場認同度
2021,03,國內上櫃,3086,華義,文化創意業,21644,21962,8434,-1.4479555596029503,156.6279345506284,65702,24563,167.48361356511828,本月受惠遊戲新品上市貢獻，帶動營收較去年同期成長。
2021,03,國內上櫃,3088,艾訊,電腦及週邊設備業,414552,284273,342191,45.82883355084725,21.146377315592755,968705,1124237,-13.83444949774825,-
2021,03,國內上櫃,3093,港建*,其他電子業,156146,115768,213245,34.87837744454426,-26.776243288236536,403196,385404,4.616454421853431,-
2021,03,國內上櫃,3095,及成,通信網路業,42820,31942,31529,34.055475549433346,35.811475149862034,112725,109237,3.19305729743585,-
2021,03,國內上櫃,3105,穩懋,半導體業,1988936,1907030,2079356,4.294950787349963,-4.348461735268035,6001217,6060623,-0.9801962603514524,-
2021,03,國內上櫃,3114,好德,電子零組件業,293699,218007,285151,34.71998605549363,2.9977099852358924,824900,790088,4.406091473354866,-
2021,03,國內上櫃,3115,富榮綱,電子零組件業,33153,42443,37158,-21.88817944066159,-10.778298078475698,96189,120318,-20.054355956714705,-
2021,03,國內上櫃,3118,進階,生技醫療業,63186,37644,55869,67.85145043034747,13.096708371368738,162024,133886,21.01638707557176,-
2021,03,國內上櫃,3122,笙泉,半導體業,55389,30354,34643,82.47677406602095,59.885113875819066,136148,82586,64.85602886687816,市場需求增加
2021,03,國內上櫃,3128,昇銳,光電業,68434,69957,61758,-2.177051617422131,10.809935554907868,215324,198939,8.236193003885614,-
2021,03,國內上櫃,3131,弘塑,其他電子業,241376,272741,157889,-11.499921170634412,52.87702119843688,750019,494034,51.81525967848367,本公司為設備製造商，單筆訂單金額大。若當月機台設備數量較少，營收金額亦隨之減少，故每月營收變動起伏較大。
